price_nom,CPI,realprice,lnrprice,dln_rprice,cons,dln_cons,prod,ln_prod,dln_prod,date,t,ln_cons,kilian,elec_price_nom,elec,rp_comm,nom_ind,elec_ind_nom_det,
4.46,184.5,2.41734417344173,0.882669488539482,0.028872077569804,1836.6,-0.09443754471984,2033633,14.5253344066657,-0.028490679568916,Aug-2004,44,7.51567131517942,41.17,9.52,5.15989159891599,4.59620596205962,6.36,-0.227406092171717,-0.123255334510416
4.59,185.1,2.47974068071313,0.908153990481093,-0.065565467150036,1801.3,0.048446978139518,1976511,14.4968437270968,0.039993707799706,Sep-2004,45,7.49626390542951,48.48,8.93,4.82441923284711,4.31658562938952,5.93,-0.154975536616161,-0.083725303412297
4.32,184.9,2.33639805300162,0.848610449851031,-0.017118489010518,1852.40000000001,0.146936964309329,2057161,14.5368374348965,-0.039260360811799,Oct-2004,46,7.5242373746066,101.24,8.59,4.64575446187128,4.06165494862088,5.81,-0.143899147727272,-0.077825390874674
4.26,185,2.3027027027027,0.834083521191045,0.129818475298811,1828.3,-0.038527969940221,1977961,14.4975770740847,0.03373168219761,Nov-2004,47,7.51114185233446,103.43,8.38,4.52972972972973,4.29189189189189,5.97,-0.273741319444444,-0.147968280780781
4.76,185.5,2.56603773584906,0.94236297218393,0.09129050535859,1851.2,-0.129500355312425,2045819,14.5313087562823,0.008268508763582,Dec-2004,48,7.52358935643941,111.45,8.61,4.64150943396226,4.15094339622642,5.85,-0.323135258838383,-0.174196905034169
5.21,186.3,2.79656468062265,1.02839176414582,-0.038209849953835,1927.00000000001,0.055988006581707,2062805,14.5395772650459,-0.071302554901633,Jan-2005,49,7.56371966841437,123.81,8.55,4.58937198067633,4.22973698336017,5.85,-0.355600536616162,-0.190875220942653
5.02,186.7,2.68880557043385,0.989097069144052,0.017778156627872,1955.10000000001,-0.036986410224623,1920843,14.4682747101442,0.077937450194467,Feb-2005,50,7.57819662200645,127.91,8.93,4.78307445099089,4.30637386181039,6.06,-0.085704703282826,-0.045905036573555
5.12,187.1,2.73650454302512,1.00668139175946,-0.019208253596752,1789,0.086782531692571,2076537,14.5462121603387,-0.039899669759814,Mar-2005,51,7.48941208350872,121.84,9.39,5.01870657402459,4.37199358631748,6.22,0.667420296717173,0.356718491030023
5.03,187.4,2.68409818569904,0.987344800295417,0.067574278095819,1849.00000000001,-3.68546255780644E-05,1995315,14.5063124905789,0.003011525932855,Apr-2005,52,7.52240023138713,108.49,9.76,5.20811099252935,4.38100320170758,6.45,0.996205018939394,0.531592859626144
5.4,188.2,2.86928799149841,1.05406391240704,0.067537423470241,1895.5,-0.099554053914205,2001333,14.5093240165117,-0.017915697494482,May-2005,53,7.54723793495639,86.05,10.44,5.54729011689692,4.43145589798087,6.46,0.55957307449495,0.29732894500263
5.82,188.9,3.08099523557438,1.12525267322397,-0.032016630443964,1822.3,0.015048171461074,1965797,14.4914083190173,0.026782336522423,Jun-2005,54,7.50785471849201,64.41,10.48,5.54790894653256,4.56855479089465,6.89,0.280336963383839,0.148404956793986
5.62,189.1,2.97197250132205,1.08922587422928,-0.01696845898289,1778.89999999999,-0.06725116582971,2019157,14.5181906555397,-0.001282049233927,Jul-2005,55,7.48375047473122,90.86,10.71,5.66367001586462,4.68006345848757,7.1,0.068427241161617,0.036185743607412
5.52,189.2,2.91754756871036,1.07074338965932,-0.0842196248126,1741.8,0.150831961213772,2016570,14.5169086063058,-0.054691219922978,Aug-2005,56,7.46267434025864,100.83,10.32,5.45454545454546,4.92600422832981,7.61,0.075093907828284,0.039690226124886
5.06,189.8,2.66596417281349,0.980565783111638,0.066612336401172,1868.8,0.057221592920974,1909243,14.4622173863828,0.051016863917704,Sep-2005,57,7.53305179263391,100.01,9.57,5.04214963119073,5.01580611169652,8.25,-0.104142203282827,-0.054869443247011
5.43,190.8,2.84591194968553,1.04588356091975,0.123833929322146,1855.69999999999,-0.151685012545709,2009174,14.5132342503005,-0.020083120190156,Oct-2005,58,7.52601726235029,108.84,9.37,4.91090146750524,5.09958071278826,8.67,-0.198065814393939,-0.103808078822819
6.21,191.7,3.23943661971831,1.17539943188188,-0.027851083223563,1870.20000000001,-0.002818534813339,1969226,14.4931511301103,0.027277064012813,Nov-2005,59,7.53380065600135,124.21,9.24,4.82003129890454,4.88784559207094,8.16,0.028758680555556,0.01500191995595
6.01,191.7,3.13510693792384,1.14266328448361,-0.030669618036902,1896.3,0.015945176924443,2023680,14.5204281941231,0.005595872996915,Dec-2005,60,7.54765989814636,128.27,9.15,4.77308294209703,4.96087636932707,8.02,-0.018135258838384,-0.009460228919345
5.8,191.6,3.02713987473904,1.10761823800371,-0.014724441112459,1850.9,0.045920034716233,2035036,14.5260240671201,-0.084283142297114,Jan-2006,61,7.52342728626267,108.12,9.5,4.95824634655532,5.13048016701461,7.86,-0.201433869949494,-0.10513249997364
5.73,192.4,2.97817047817048,1.09130917848313,0.031195593603773,1820,0.054128934362933,1870546,14.4417409248229,0.106379805195106,Feb-2006,62,7.50659178007084,108.55,10.05,5.22349272349272,5.15072765072765,8.06,0.060961963383839,0.031685012153763
5.95,193.1,3.08130502330399,1.12535321611116,0.085324527966706,1886.10000000001,-0.125783875806431,2080504,14.548120730018,-0.049779019205936,Mar-2006,63,7.54226648405713,111.53,10.15,5.25634386328327,5.06991196271362,7.82,-0.115496369949494,-0.059811688218278
6.57,193.7,3.39184305627259,1.22137344807166,-0.040459347839725,1836.2,0.017890459323209,1979474,14.4983417108121,0.015614466163322,Apr-2006,64,7.5154534977096,108.22,10.72,5.53433144037171,5.11099638616417,7.66,-0.260044981060605,-0.134251409943524
6.25,193.6,3.22830578512397,1.17195747489393,-0.022568888516516,1836.7,0.101813081615716,2010625,14.5139561769754,-0.018903063110255,May-2006,65,7.51572576213449,87.27,11.21,5.79028925619835,4.93801652892562,7.75,0.043323074494951,0.022377621123425
6.09,193.7,3.14403717088281,1.14550769729695,0.079244193099201,1872.40000000001,-0.11242153427945,1972975,14.4950531138652,0.00564452697729,Jun-2006,66,7.53497630942592,58.58,11.29,5.82860092927207,5.11099638616417,7.97,0.05533696338384,0.028568385846071
6.71,194.9,3.44279117496152,1.23628253045817,-0.033177341180249,1885.4,0.291913447148995,1984143,14.5006976408425,0.001994840862837,Jul-2006,67,7.54189527896205,36.76,11.47,5.88506926629041,5.16675218060544,7.84,0.09926057449495,0.05092897613902
6.48,196.1,3.30443651198368,1.19526596314997,0.258736105968746,1866.9,-0.164426680525902,1988105,14.5026924817053,-0.118123430236285,Aug-2006,68,7.53203458024328,35.73,11.66,5.94594594594595,5.2371239163692,8.16,-0.00823942550505,-0.004201644826644
8.95,198.8,4.50201207243461,1.50452442405238,0.094309425442844,1796.8,-0.117689238004156,1766603,14.384569051469,0.057516098604637,Sep-2006,69,7.49376258398418,58.48,11.6,5.83501006036217,5.06539235412475,7.71,0.140441130050506,0.070644431614943
10.33,199.1,5.18834756403817,1.64641525804949,-0.023379812561312,1696.40000000001,-0.029763270833082,1871190,14.4420851500737,0.016204129428815,Oct-2006,70,7.43626363760044,70.49,11.5,5.77599196383727,4.90205926670015,7.55,0.156934185606061,0.078821790861909
9.89,198.1,4.99242806663301,1.60792237791821,-0.053143083394394,1746.3,-0.033178811766425,1901758,14.4582892795025,0.048297315684364,Nov-2006,71,7.4652545429458,63.1,11.42,5.76476527006562,4.81070166582534,7.69,0.210425347222223,0.10622178052611
9.08,198.1,4.58354366481575,1.52247242489679,-0.086321895160819,1884.5,-0.026502065676534,1995862,14.5065865951868,-0.010422579196011,Dec-2006,72,7.54141781270719,51.8,11.91,6.01211509338718,4.77031802120141,7.75,0.076448074494949,0.038590648407344
8.01,199.3,4.01906673356749,1.39104971984961,-0.112823960837352,1567.60000000001,0.060334549125658,1975168,14.4961640159908,-0.096071366734492,Jan-2007,73,7.35730106632548,37.45,12.12,6.08128449573507,4.74159558454591,7.77,-0.248517203282828,-0.124695034261329
6.85,199.4,3.43530591775326,1.23410598073449,-0.052489411711695,1744.8,0.040200235278495,1794241,14.4000926492563,0.105793251271871,Feb-2007,74,7.46439521488742,45.31,12.42,6.22868605817452,4.82948846539619,7.78,-0.420704703282827,-0.210985307564106
6.43,199.7,3.21982974461693,1.16932848381585,-0.0122891764332,1825.10000000001,-0.009536902872502,1994464,14.5058859005282,-0.043802607691591,Mar-2007,75,7.50939005903598,51.48,12.72,6.36955433149725,5.03755633450175,7.85,-0.101329703282827,-0.050740963086043
6.37,200.7,3.17389138016941,1.15495839976987,-0.021826079305702,1793.7,-0.048264661571754,1908987,14.4620832928366,0.02459465007955,Apr-2007,76,7.49203580455497,45.86,12.98,6.46736422521176,4.99252615844544,7.88,-0.134628314393939,-0.067079379369177
6.23,201.3,3.09488325881768,1.12975018614171,-0.070090740877456,1850.79999999999,0.087736111880092,1956520,14.4866779429162,-0.009100223096764,May-2007,77,7.52337325703284,44.8,13.41,6.66169895678092,4.89319423745653,7.87,-0.114593592171716,-0.05692677206742
5.77,201.8,2.85926660059465,1.05056515858859,0.017645371002636,1886.9,0.074388198622706,1938796,14.4775777198194,0.018620216761304,Jun-2007,78,7.54269054979367,55.44,13.31,6.59563924677899,4.97026759167493,8.03,-0.235079703282827,-0.116491428782372
